disp_id,client_id,account_id,type
D00000001,C00000001,A00000001,Owner
D00000002,C00000002,A00000002,Owner
D00000003,C00000003,A00000002,User
D00000004,C00000004,A00000003,Owner
D00000005,C00000005,A00000003,User
D00000006,C00000006,A00000004,Owner
D00000007,C00000007,A00000005,Owner
D00000008,C00000008,A00000006,Owner
D00000009,C00000009,A00000007,Owner
D00000010,C00000010,A00000008,Owner
D00000011,C00000011,A00000008,User
D00000012,C00000012,A00000009,Owner
D00000013,C00000013,A00000010,Owner
D00000014,C00000014,A00000011,Owner
D00000015,C00000015,A00000012,Owner
D00000016,C00000016,A00000012,User
D00000017,C00000017,A00000013,Owner
D00000018,C00000018,A00000013,User
D00000019,C00000019,A00000014,Owner
D00000020,C00000020,A00000015,Owner
D00000021,C00000021,A00000016,Owner
D00000022,C00000022,A00000017,Owner
D00000023,C00000023,A00000017,User
D00000024,C00000024,A00000018,Owner
D00000025,C00000025,A00000019,Owner
D00000026,C00000026,A00000020,Owner
D00000027,C00000027,A00000021,Owner
D00000028,C00000028,A00000022,Owner
D00000029,C00000029,A00000023,Owner
D00000030,C00000030,A00000024,Owner
D00000031,C00000031,A00000025,Owner
D00000032,C00000032,A00000026,Owner
D00000033,C00000033,A00000027,Owner
D00000036,C00000036,A00000029,Owner
D00000037,C00000037,A00000029,User
D00000038,C00000038,A00000030,Owner
D00000039,C00000039,A00000031,Owner
D00000040,C00000040,A00000032,Owner
D00000041,C00000041,A00000033,Owner
D00000042,C00000042,A00000034,Owner
D00000043,C00000043,A00000035,Owner
D00000044,C00000044,A00000036,Owner
D00000045,C00000045,A00000037,Owner
D00000046,C00000046,A00000038,Owner
D00000047,C00000047,A00000039,Owner
D00000048,C00000048,A00000040,Owner
D00000049,C00000049,A00000041,Owner
D00000050,C00000050,A00000042,Owner
D00000051,C00000051,A00000043,Owner
D00000052,C00000052,A00000044,Owner
D00000053,C00000053,A00000045,Owner
D00000055,C00000055,A00000047,Owner
D00000056,C00000056,A00000048,Owner
D00000057,C00000057,A00000048,User
D00000058,C00000058,A00000049,Owner
D00000059,C00000059,A00000050,Owner
D00000060,C00000060,A00000051,Owner
D00000061,C00000061,A00000052,Owner
D00000062,C00000062,A00000053,Owner
D00000063,C00000063,A00000054,Owner
D00000064,C00000064,A00000055,Owner
D00000065,C00000065,A00000056,Owner
D00000066,C00000066,A00000057,Owner
D00000067,C00000067,A00000058,Owner
D00000068,C00000068,A00000059,Owner
D00000070,C00000070,A00000061,Owner
D00000071,C00000071,A00000061,User
D00000072,C00000072,A00000062,Owner
D00000073,C00000073,A00000063,Owner
D00000074,C00000074,A00000063,User
D00000075,C00000075,A00000064,Owner
