loan_id,account_id,amount,duration,payments,status,year,month,day,fulldate,location,purpose
L00005657,A00003354,4980,12,415,A,2014,7,5,2014-07-05,59,car
L00006234,A00006061,5148,12,429,C,2018,5,28,2018-05-28,1,car
L00006699,A00008330,7656,24,319,A,2014,3,30,2014-03-30,1,car
L00006688,A00008268,8616,24,359,C,2017,9,26,2017-09-26,1,car
L00006312,A00006453,10944,36,304,C,2018,5,17,2018-05-17,1,car
L00006019,A00005033,11400,12,950,A,2016,7,25,2016-07-25,1,car
L00006229,A00006040,11736,24,489,A,2014,10,2,2014-10-02,1,car
L00005103,A00000666,12540,12,1045,A,2017,11,28,2017-11-28,64,debt_consolidation
L00006539,A00007559,12792,12,1066,C,2018,7,11,2018-07-11,1,car
L00005718,A00003637,14028,12,1169,A,2017,9,1,2017-09-01,1,car
L00006064,A00005215,14628,12,1219,A,2014,8,4,2014-08-04,1,car
L00005897,A00004476,15192,24,633,A,2016,9,25,2016-09-25,1,car
L00005599,A00003064,15420,12,1285,A,2015,3,21,2015-03-21,18,car
L00006852,A00009140,16032,48,334,C,2018,11,10,2018-11-10,1,car
L00006377,A00006792,17184,12,1432,A,2017,3,17,2017-03-17,1,debt_consolidation
L00006297,A00006363,17508,12,1459,A,2014,10,25,2014-10-25,1,car
L00005463,A00002413,17952,12,1496,C,2018,10,6,2018-10-06,59,car
L00006942,A00009513,18324,12,1527,A,2017,7,16,2017-07-16,1,car
L00005740,A00003752,18564,12,1547,A,2015,4,2,2015-04-02,1,debt_consolidation
L00007230,A00010954,18720,60,312,C,2017,4,2,2017-04-02,1,car
L00007034,A00010001,19044,36,529,C,2016,7,11,2016-07-11,1,car
L00005651,A00003329,19248,12,1604,A,2017,12,8,2017-12-08,59,car
L00005429,A00002268,20196,36,561,C,2016,7,18,2016-07-18,59,car
L00005922,A00004580,20220,12,1685,A,2015,8,5,2015-08-05,1,car
L00006043,A00005126,20352,48,424,C,2016,1,11,2016-01-11,1,debt_consolidation
L00006591,A00007819,20832,48,434,C,2015,2,2,2015-02-02,1,car
L00006721,A00008475,21072,24,878,A,2014,1,21,2014-01-21,1,car
L00005980,A00004825,21396,12,1783,A,2015,8,18,2015-08-18,1,car
L00006600,A00007861,21852,36,607,A,2015,10,8,2015-10-08,1,car
L00007121,A00010364,21924,36,609,A,2013,11,10,2013-11-10,1,debt_consolidation
